[Current] DELIVERY - Takes(s): 9.8, Count: 44, TPM: 268.4, Sum(ms): 855.9, Avg(ms): 19.5, 50th(ms): 19.9, 90th(ms): 22.0, 95th(ms): 22.0, 99th(ms): 24.1, 99.9th(ms): 24.1, Max(ms): 24.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 387, TPM: 2331.9, Sum(ms): 5172.7, Avg(ms): 13.4, 50th(ms): 13.1, 90th(ms): 15.7, 95th(ms): 16.8, 99th(ms): 33.6, 99.9th(ms): 48.2, Max(ms): 48.2
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 32, TPM: 197.5, Sum(ms): 80.3, Avg(ms): 2.6, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 9.9, Count: 382, TPM: 2304.2, Sum(ms): 3417.1, Avg(ms): 8.9, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 11.0, 99th(ms): 31.5, 99.9th(ms): 39.8, Max(ms): 39.8
[Current] STOCK_LEVEL - Takes(s): 9.6, Count: 39, TPM: 244.2, Sum(ms): 94.5, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 2.6, 95th(ms): 2.6, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] DELIVERY - Takes(s): 9.9, Count: 33, TPM: 199.4, Sum(ms): 640.1, Avg(ms): 19.5, 50th(ms): 19.9, 90th(ms): 21.0, 95th(ms): 21.0, 99th(ms): 25.2, 99.9th(ms): 25.2, Max(ms): 25.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 398, TPM: 2389.1, Sum(ms): 5456.1, Avg(ms): 13.7, 50th(ms): 13.1, 90th(ms): 15.7, 95th(ms): 17.8, 99th(ms): 39.8, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 28, TPM: 170.6, Sum(ms): 75.3, Avg(ms): 2.7, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 10.0, Count: 388, TPM: 2331.1, Sum(ms): 3373.3, Avg(ms): 8.7, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 11.0, 99th(ms): 23.1, 99.9th(ms): 31.5, Max(ms): 31.5
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 45, TPM: 270.4, Sum(ms): 110.0, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 2.6, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.2, Count: 28, TPM: 181.8, Sum(ms): 590.0, Avg(ms): 21.1, 50th(ms): 19.9, 90th(ms): 21.0, 95th(ms): 23.1, 99th(ms): 67.1, 99.9th(ms): 67.1, Max(ms): 67.1
[Current] NEW_ORDER - Takes(s): 10.0, Count: 406, TPM: 2439.0, Sum(ms): 5586.8, Avg(ms): 13.8, 50th(ms): 13.6, 90th(ms): 16.3, 95th(ms): 18.9, 99th(ms): 35.7, 99.9th(ms): 44.0, Max(ms): 44.0
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 40, TPM: 241.1, Sum(ms): 101.7, Avg(ms): 2.5, 50th(ms): 2.6, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] PAYMENT - Takes(s): 10.0, Count: 375, TPM: 2254.7, Sum(ms): 3295.8, Avg(ms): 8.8, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 10.5, 99th(ms): 29.4, 99.9th(ms): 37.7, Max(ms): 37.7
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 30, TPM: 182.2, Sum(ms): 73.2, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 2.6, 95th(ms): 3.1, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.3, Count: 32, TPM: 207.0, Sum(ms): 676.3, Avg(ms): 21.2, 50th(ms): 19.9, 90th(ms): 22.0, 95th(ms): 22.0, 99th(ms): 83.9, 99.9th(ms): 83.9, Max(ms): 83.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 405, TPM: 2434.3, Sum(ms): 5417.8, Avg(ms): 13.4, 50th(ms): 13.1, 90th(ms): 15.7, 95th(ms): 16.3, 99th(ms): 33.6, 99.9th(ms): 46.1, Max(ms): 46.1
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 37, TPM: 230.8, Sum(ms): 96.2, Avg(ms): 2.6, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 10.0, Count: 383, TPM: 2298.2, Sum(ms): 3374.8, Avg(ms): 8.8, 50th(ms): 8.4, 90th(ms): 10.0, 95th(ms): 11.5, 99th(ms): 29.4, 99.9th(ms): 33.6, Max(ms): 33.6
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 38, TPM: 235.1, Sum(ms): 90.5, Avg(ms): 2.4, 50th(ms): 2.6, 90th(ms): 2.6, 95th(ms): 2.6, 99th(ms): 3.1, 99.9th(ms): 3.1, Max(ms): 3.1
[Current] DELIVERY - Takes(s): 9.9, Count: 39, TPM: 235.7, Sum(ms): 770.3, Avg(ms): 19.6, 50th(ms): 19.9, 90th(ms): 22.0, 95th(ms): 22.0, 99th(ms): 37.7, 99.9th(ms): 37.7, Max(ms): 37.7
[Current] NEW_ORDER - Takes(s): 10.0, Count: 392, TPM: 2357.5, Sum(ms): 5432.4, Avg(ms): 13.9, 50th(ms): 13.6, 90th(ms): 15.7, 95th(ms): 16.8, 99th(ms): 44.0, 99.9th(ms): 62.9, Max(ms): 62.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 37, TPM: 223.6, Sum(ms): 96.9, Avg(ms): 2.6, 50th(ms): 3.1, 90th(ms): 3.1, 95th(ms): 3.1, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
